portal_authority_id,council,portal_businesses,category,site_url,list_url,listing_count_on_own_site,confidence,plugin_claim_independently_verified,evidence
1,מועצה דתית ירושלים,1448,other_platform_with_list,https://rabanut.org.il/,https://rabanut.org.il/search-kasher/,,medium,,Custom WordPress 'shamor' plugin with an AJAX map/search (rabanut_kasher_map_search); no drts- classes; count not readable server-side.
3,מועצה דתית חיפה,509,other_platform_with_list,https://www.mdhaifa.org/,,,low,,"Search results and haifa.muni.il point to mdhaifa.org (Wix) which reportedly has a kosher-businesses page, but during my checks the whole domain returned 404 / Wix 'ConnectYourDomain Error', so I could not view any list."
11,מועצה דתית רמת גן,373,other_platform_with_list,https://mdrg.org.il/,https://ikr.org.il/index2.php?id=1&lang=HEB&byText=רמת גן,,medium,,mdrg.org.il has a kashrut section but no list of its own; it links out to a search on the national ikr.org.il kosher site (not m-datit); /directory-kashrut/ returns 404.
18,מועצה דתית חדרה,279,drts_plugin,https://haderamd.org.il/,https://haderamd.org.il/directory-kashrut/,200,high,yes,Fetched page HTML contains kashrut_dir_ltg and drts- classes; 200 unique listing links on the page (may be a per-page cap).
58,מועצה דתית קריית שמונה,270,other_platform_with_list,https://mdk-8.org.il/,https://mdk-8.org.il/רשימת-עסקים-מושגחים/,100,high,,"WordPress page with an HTML table (class kashrut-table, aria-label 'רשימת עסקים מושגחים') of about 100 rows; no drts- classes found."
25,מועצה דתית נהריה,261,other_platform_with_list,http://www.mdnahariya.co.il/,http://www.mdnahariya.co.il/%D7%91%D7%AA%D7%99-%D7%A2%D7%A1%D7%A7-%D7%9B%D7%A9%D7%A8%D7%99%D7%9D-%D7%91%D7%A0%D7%94%D7%A8%D7%99%D7%94,,high,,"Own site has an HTML table of kosher businesses by category (name, address, phone, kashrut type, supervisor), roughly 400+ rows; no drts/kashrut_dir_ltg classes in the homepage HTML."
35,מועצה דתית טבריה,245,site_no_list,https://mdt.org.il/,,,low,,"mdt.org.il appeared in search with a kashrut department page, but it now 301-redirects to tveria.md.gov.il which returns a gov.il 'site not found' error, so no list could be verified."
19,מחלקת דת מודיעין-מכבים-רעות,221,site_no_list,https://modiin.muni.il/ModiinWebSite/ArticlePage.aspx?PageID=1480_10730,,,low,,"Only a municipal religious-services page (synagogues, mikvaot, candle times) was found; no kosher business list seen in 2 fetches and 1 search."
22,מועצה דתית רמלה,192,other_platform_with_list,https://www.mod-ramla.org.il/,https://www.mod-ramla.org.il/restaurant/,147,medium,,WordPress custom post type 'restaurant' archive with ~147 entry links; no drts- classes; the kashrut page also links to the m-datit portal.
161,מועצה דתית מטה בנימין,178,links_to_mdatit,https://www.binyamin.org.il/545/,https://shirathayam.m-datit.org.il/pirsumsite/161,,medium,,"Regional council site's kashrut page links to shirathayam.m-datit.org.il/pirsumsite/161 for the business list, plus a seasonal Passover-kosher PDF (binyamin.org.il/uploads/n/1774947059.5725.pdf); no own directory."
165,מועצה דתית שומרון,168,other_platform_with_list,https://www.shomron.org.il/,https://www.shomron.org.il/1533/,,high,,"Regional council site page 'עסקים כשרים בשומרון' has a free-text search/filter over roughly 150+ named businesses (custom municipality CMS, no drts/kashrut_dir_ltg classes, no m-datit link)."
17,מועצה דתית הרצליה,165,drts_plugin,https://mdh.org.il/,https://mdh.org.il/directory-kashrut/,167,high,yes,Fetched page HTML contains kashrut_dir_ltg and drts- classes; 167 unique listing links.
201,מועצה דתית בקעת הירדן,152,links_to_mdatit,https://bikat-ayarden.md.gov.il/home/,,,high,,Site's kashrut page is text only and links to shirathayam.m-datit.org.il/pirsumsite/201; also search result listed datit-bh.org.il but it returned a Wix 404.
20,מועצה דתית לוד,145,drts_plugin,https://mdlod.org.il/,https://mdlod.org.il/directory-kashrut/,94,high,yes,Raw HTML of /directory-kashrut/ contains kashrut_dir_ltg (283 hits) and drts- classes; 94 listing links on first page (total may be higher via pagination).
163,מועצה דתית עמק חפר,140,site_no_list,https://emek-hefer.md.gov.il/home/,,,low,,Search lists emek-hefer.md.gov.il and datithefer.org.il (redirects to it) but it returned only a gov.il error page when fetched; no list seen.
164,מועצה דתית עמק יזרעאל,137,site_no_list,https://www.emekyizrael.org.il/,,,low,,"Regional council site found; searches surfaced only kosharot.co.il (a third-party kashrut guidance portal) and ikr.org.il, no own business list located."
45,מועצה דתית אור יהודה,136,other_platform_with_list,https://www.oryehudat.co.il/,https://www.oryehudat.co.il/כשרות-אינדקס/,,medium,,"WordPress page 'אינדקס כשרות עסקים' with HTML tables by category (butchers, catering, halls...), said to be 100+ rows (fetched via summarizer, not counted); no drts- classes."
